级别	优先级	显示名	升级价格	家个数	领地个数	圈地大小	圈地单价1平方	前缀设置
owner	100000	Owner	0	1000	1000	10000	0	&4&l[Owner]&r
op	10000	OP	0	1000	1000	10000	0	&c&l[OP]&r
svip	1000	SVIP	0	40	40	500	0.01	&5&l[SVIP]&r
vip	100	VIP	0	22	22	500	0.02	&d&l[VIP]&r
default	0	Lv.0	1024	2	2	10	1	&7[Lv.0]&r
lv1	1	Lv.1	2048	4	4	50	1	&7[Lv.1]&r
lv2	2	Lv.2	4096	6	6	100	0.5	&7[Lv.2]&r
lv3	3	Lv.3	8192	8	8	150	0.5	&7[Lv.3]&r
lv4	4	Lv.4	16384	10	10	200	0.2	&7[Lv.4]&r
lv5	5	Lv.5	32768	12	12	250	0.2	&7[Lv.5]&r
lv6	6	Lv.6	65536	14	14	300	0.1	&7[Lv.6]&r
lv7	7	Lv.7	131072	16	16	350	0.1	&7[Lv.7]&r
lv8	8	Lv.8	262144	18	18	400	0.05	&7[Lv.8]&r
lv9	9	Lv.9	524288	20	20	450	0.05	&7[Lv.9]&r
lv10	10	Lv.10	1048576	22	22	500	0.02	&7[Lv.10]&r
